Recovery Year, Reporting Agency, Sampling Agency,State,Region, Detection Method, PSC Fishery, Fis-Gear, RMIS Region, SUM Observed, SUM Estimated
2010,ADFG,ADFG,AK,AK,Visual,Aboriginal Gillnet,M.I.C. Drift Gillnet,SEAK,7,36.45
2010,ADFG,ADFG,AK,AK,Visual,Coastal Gillnet,Terminal Area Drift Gillnet,SEAK,184,469.23
2010,ADFG,ADFG,AK,AK,Visual,Commercial Seine,Traditional Purse Seine,SEAK,70,86.26
2010,ADFG,ADFG,AK,AK,Visual,Hatchery,Rack Returns,SEAK,855,
2010,ADFG,ADFG,AK,AK,Visual,Multiple Gear,Multiple Fisheries,SEAK,79,0
2010,ADFG,ADFG,AK,AK,Visual,Multiple Gear,Multiple Fisheries,WEAK,3,0
2010,ADFG,ADFG,AK,AK,Visual,Multiple Gear,Traditional Multiple/Unknown gear,WEAK,3,0
2010,ADFG,ADFG,AK,AK,Visual,Ocean Gillnet (non-treaty),Traditional Drift Gillnet,CHIL,8,8.88
2010,ADFG,ADFG,AK,AK,Visual,Ocean Gillnet (non-treaty),Traditional Drift Gillnet,LOYR,1,0
2010,ADFG,ADFG,AK,AK,Visual,Ocean Gillnet (non-treaty),Traditional Drift Gillnet,SEAK,278,536.83
2010,ADFG,ADFG,AK,AK,Visual,Ocean Gillnet (non-treaty),Traditional Drift Gillnet,TAWH,9,35.27
2010,ADFG,ADFG,AK,AK,Visual,Ocean Gillnet (non-treaty),Traditional Drift Gillnet,WEAK,5,0
2010,ADFG,ADFG,AK,AK,Visual,Ocean Sport,Marine Sport,CEAK,22,0
2010,ADFG,ADFG,AK,AK,Visual,Ocean Sport,Marine Sport,CHIL,9,18.03
2010,ADFG,ADFG,AK,AK,Visual,Ocean Sport,Marine Sport,SEAK,680,1439.72
2010,ADFG,ADFG,AK,AK,Visual,Ocean Sport,"Marine Sport (DE,DT,MB,MR,MS)",CEAK,22,0
2010,ADFG,ADFG,AK,AK,Visual,Ocean Sport,"Marine Sport (DE,DT,MB,MR,MS)",CHIL,9,18.03
2010,ADFG,ADFG,AK,AK,Visual,Ocean Sport,"Marine Sport (DE,DT,MB,MR,MS)",SEAK,680,1439.72
2010,ADFG,ADFG,AK,AK,Visual,Ocean Troll - Day Boat,Experimental Area Troll,SEAK,954,1661.25
2010,ADFG,ADFG,AK,AK,Visual,Ocean Troll - Day Boat,Experimental Area Troll,WEAK,12,0
2010,ADFG,ADFG,AK,AK,Visual,Ocean Troll (non-treaty),Traditional Troll,SEAK,3174,8484.09
2010,ADFG,ADFG,AK,AK,Visual,Ocean Troll (non-treaty),Traditional Troll,WEAK,67,10.29
2010,ADFG,ADFG,AK,AK,Visual,Other,Juvenile,TAWH,1,
2010,ADFG,ADFG,AK,AK,Visual,Other,Other,SEAK,5,
2010,ADFG,ADFG,AK,AK,Visual,Other,Other,WEAK,3,
2010,ADFG,ADFG,AK,AK,Visual,Other,Personal Use,SEAK,1,
2010,ADFG,ADFG,AK,AK,Visual,PNP Cost Recovery,Hatchery Miscellaneous,SEAK,448,1161.5
2010,ADFG,ADFG,AK,AK,Visual,PNP Cost Recovery,PNP Hatchery Cost Recovery,SEAK,448,1161.5
2010,ADFG,ADFG,AK,AK,Visual,Spawning Ground,Escapement Survey,CEAK,2,
2010,ADFG,ADFG,AK,AK,Visual,Spawning Ground,Escapement Survey,CHIL,37,
