Recovery Year, Reporting Agency, Sampling Agency,State,Region, Detection Method, PSC Fishery, Fis-Gear, RMIS Region, SUM Observed, SUM Estimated
2010,ADFG,ADFG,AK,AK,Visual,Aboriginal Gillnet,M.I.C. Drift Gillnet,SEAK,39,670.91
2010,ADFG,ADFG,AK,AK,Visual,Coastal Gillnet,Terminal Area Drift Gillnet,SEAK,88,428.84
2010,ADFG,ADFG,AK,AK,Visual,Commercial Seine,Traditional Purse Seine,SEAK,554,2373.38
2010,ADFG,ADFG,AK,AK,Visual,Commercial Seine,Traditional Purse Seine,WEAK,36,0
2010,ADFG,ADFG,AK,AK,Visual,Freshwater Sport,Freshwater Sport (FF),CHIL,5,
2010,ADFG,ADFG,AK,AK,Visual,Hatchery,Rack Returns,SEAK,673,
2010,ADFG,ADFG,AK,AK,Visual,Multiple Gear,Aboriginal Multiple/Unknown gear,SEAK,4,0
2010,ADFG,ADFG,AK,AK,Visual,Multiple Gear,Multiple Fisheries,SEAK,392,0
2010,ADFG,ADFG,AK,AK,Visual,Multiple Gear,Multiple Fisheries,WEAK,18,0
2010,ADFG,ADFG,AK,AK,Visual,Multiple Gear,Traditional Multiple/Unknown gear,WEAK,12,0
2010,ADFG,ADFG,AK,AK,Visual,Ocean Gillnet (non-treaty),Traditional Drift Gillnet,CHIL,1,2.8
2010,ADFG,ADFG,AK,AK,Visual,Ocean Gillnet (non-treaty),Traditional Drift Gillnet,SEAK,4329,10272.24
2010,ADFG,ADFG,AK,AK,Visual,Ocean Gillnet (non-treaty),Traditional Drift Gillnet,TAWH,97,495.73
2010,ADFG,ADFG,AK,AK,Visual,Ocean Gillnet (non-treaty),Traditional Drift Gillnet,WEAK,7,0
2010,ADFG,ADFG,AK,AK,Visual,Ocean Sport,Marine Sport,SEAK,301,846.4
2010,ADFG,ADFG,AK,AK,Visual,Ocean Sport,"Marine Sport (DE,DT,MB,MR,MS)",SEAK,301,846.4
2010,ADFG,ADFG,AK,AK,Visual,Ocean Troll - Day Boat,Experimental Area Troll,SEAK,78,131.17
2010,ADFG,ADFG,AK,AK,Visual,Ocean Troll (non-treaty),Traditional Troll,SEAK,4359,15871.27
2010,ADFG,ADFG,AK,AK,Visual,Ocean Troll (non-treaty),Traditional Troll,WEAK,176,12.8
2010,ADFG,ADFG,AK,AK,Visual,Other,Other,WEAK,6,
2010,ADFG,ADFG,AK,AK,Visual,PNP Cost Recovery,Hatchery Miscellaneous,SEAK,667,2245.67
2010,ADFG,ADFG,AK,AK,Visual,PNP Cost Recovery,PNP Hatchery Cost Recovery,SEAK,667,2245.67
2010,ADFG,ADFG,AK,AK,Visual,Spawning Ground,Escapement Survey,CHIL,28,
2010,ADFG,ADFG,AK,AK,Visual,Spawning Ground,Escapement Survey,SEAK,48,
2010,ADFG,ADFG,AK,AK,Visual,Spawning Ground,Escapement Survey,TAWH,29,
2010,ADFG,ADFG,AK,AK,Visual,Terminal Seine,Terminal Area Purse Seine,SEAK,6,24.21
2010,ADFG,ADFG,AK,AK,Visual,Terminal Troll,Terminal Area Troll,SEAK,27,5.44
2010,CDFO,CDFO,BC,BC,Electronic,Ocean Troll (non-treaty),Troll - Freezer Boat,BCGN,29,31.43
2010,CDFO,CDFO,BC,BC,Electronic,Ocean Troll (non-treaty),Troll - Freezer Boat,NOBC,80,113.39
2010,CDFO,CDFO,BC,BC,Electronic,Ocean Troll (non-treaty),Troll - Freezer Boat,QCI,163,355.43
2010,CDFO,CDFO,BC,BC,Electronic,Ocean Troll (non-treaty),Troll - Ice Boat,WCVI,2,11.66
2010,CDFO,CDFO,BC,BC,Visual,Freshwater Sport,Rod and Reel,FRTH,11,34.07
2010,CDFO,CDFO,BC,BC,Visual,Freshwater Sport,Rod and Reel,GST,6,9.3
2010,CDFO,CDFO,BC,BC,Visual,Freshwater Sport,Rod and Reel,NOBC,5,26.11
2010,CDFO,CDFO,BC,BC,Visual,Freshwater Sport,Rod and Reel,WCVI,2,10.23
2010,CDFO,CDFO,BC,BC,Visual,Freshwater Sport,Rod and Reel,Unspe,13,70.93
2010,CDFO,CDFO,BC,BC,Visual,Mixed Net and Seine,Gillnet,GST,2,2
2010,CDFO,CDFO,BC,BC,Visual,Mixed Net and Seine,Gillnet,NOBC,2,1.1
2010,CDFO,CDFO,BC,BC,Visual,Mixed Net and Seine,Hook & Line,GST,2,2
2010,CDFO,CDFO,BC,BC,Visual,Mixed Net and Seine,Hook & Line,NOBC,2,1.1
2010,CDFO,CDFO,BC,BC,Visual,Ocean Sport,Rod and Reel,BCGN,1,6.29
2010,CDFO,CDFO,BC,BC,Visual,Ocean Sport,Rod and Reel,CEBC,23,134.95
2010,CDFO,CDFO,BC,BC,Visual,Ocean Sport,Rod and Reel,GST,10,28.08
2010,CDFO,CDFO,BC,BC,Visual,Ocean Sport,Rod and Reel,JNST,18,123.99
2010,CDFO,CDFO,BC,BC,Visual,Ocean Sport,Rod and Reel,NOBC,18,113.24
2010,CDFO,CDFO,BC,BC,Visual,Ocean Sport,Rod and Reel,QCI,54,336.42
